Position,Decimal,Name,Appearance
0x1FBA,8122,GREEK CAPITAL LETTER ALPHA WITH VARIA,Ὰ
0x1FBB,8123,GREEK CAPITAL LETTER ALPHA WITH OXIA,Ά
0x1FBC,8124,GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI,ᾼ
0x1FBD,8125,GREEK KORONIS,᾽
0x1FBE,8126,GREEK PROSGEGRAMMENI,ι
0x1FBF,8127,GREEK PSILI,᾿
0x1FC0,8128,GREEK PERISPOMENI,῀
0x1FC1,8129,GREEK DIALYTIKA AND PERISPOMENI,῁
0x1FC2,8130,GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI,ῂ
0x1FC3,8131,GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI,ῃ
0x1FC4,8132,GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI,ῄ
0x1FC6,8134,GREEK SMALL LETTER ETA WITH PERISPOMENI,ῆ
0x1FC7,8135,GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI,ῇ
0x1FC8,8136,GREEK CAPITAL LETTER EPSILON WITH VARIA,Ὲ
0x1FC9,8137,GREEK CAPITAL LETTER EPSILON WITH OXIA,Έ
0x1FCA,8138,GREEK CAPITAL LETTER ETA WITH VARIA,Ὴ
0x1FCB,8139,GREEK CAPITAL LETTER ETA WITH OXIA,Ή
0x1FCC,8140,GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI,ῌ
0x1FCD,8141,GREEK PSILI AND VARIA,῍
0x1FCE,8142,GREEK PSILI AND OXIA,῎
0x1FCF,8143,GREEK PSILI AND PERISPOMENI,῏
0x1FD0,8144,GREEK SMALL LETTER IOTA WITH VRACHY,ῐ
0x1FD1,8145,GREEK SMALL LETTER IOTA WITH MACRON,ῑ
0x1FD2,8146,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA,ῒ
0x1FD3,8147,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA,ΐ
0x1FD6,8150,GREEK SMALL LETTER IOTA WITH PERISPOMENI,ῖ
0x1FD7,8151,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI,ῗ
0x1FD8,8152,GREEK CAPITAL LETTER IOTA WITH VRACHY,Ῐ
0x1FD9,8153,GREEK CAPITAL LETTER IOTA WITH MACRON,Ῑ
0x1FDA,8154,GREEK CAPITAL LETTER IOTA WITH VARIA,Ὶ
0x1FDB,8155,GREEK CAPITAL LETTER IOTA WITH OXIA,Ί
0x1FDD,8157,GREEK DASIA AND VARIA,῝
0x1FDE,8158,GREEK DASIA AND OXIA,῞
0x1FDF,8159,GREEK DASIA AND PERISPOMENI,῟
0x1FE0,8160,GREEK SMALL LETTER UPSILON WITH VRACHY,ῠ
0x1FE1,8161,GREEK SMALL LETTER UPSILON WITH MACRON,ῡ
0x1FE2,8162,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA,ῢ
0x1FE3,8163,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA,ΰ
0x1FE4,8164,GREEK SMALL LETTER RHO WITH PSILI,ῤ
0x1FE5,8165,GREEK SMALL LETTER RHO WITH DASIA,ῥ
0x1FE6,8166,GREEK SMALL LETTER UPSILON WITH PERISPOMENI,ῦ
0x1FE7,8167,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI,ῧ
0x1FE8,8168,GREEK CAPITAL LETTER UPSILON WITH VRACHY,Ῠ
0x1FE9,8169,GREEK CAPITAL LETTER UPSILON WITH MACRON,Ῡ
0x1FEA,8170,GREEK CAPITAL LETTER UPSILON WITH VARIA,Ὺ
0x1FEB,8171,GREEK CAPITAL LETTER UPSILON WITH OXIA,Ύ
0x1FEC,8172,GREEK CAPITAL LETTER RHO WITH DASIA,Ῥ
0x1FED,8173,GREEK DIALYTIKA AND VARIA,῭
0x1FEE,8174,GREEK DIALYTIKA AND OXIA,΅
0x1FEF,8175,GREEK VARIA,`
0x1FF2,8178,GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI,ῲ
0x1FF3,8179,GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI,ῳ
0x1FF4,8180,GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI,ῴ
0x1FF6,8182,GREEK SMALL LETTER OMEGA WITH PERISPOMENI,ῶ
0x1FF7,8183,GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI,ῷ
0x1FF8,8184,GREEK CAPITAL LETTER OMICRON WITH VARIA,Ὸ
0x1FF9,8185,GREEK CAPITAL LETTER OMICRON WITH OXIA,Ό
0x1FFA,8186,GREEK CAPITAL LETTER OMEGA WITH VARIA,Ὼ
0x1FFB,8187,GREEK CAPITAL LETTER OMEGA WITH OXIA,Ώ
0x1FFC,8188,GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI,ῼ
0x1FFD,8189,GREEK OXIA,´
0x1FFE,8190,GREEK DASIA,῾
,,,
0x2000,8192,EN QUAD, 
0x2001,8193,EM QUAD, 
0x2002,8194,EN SPACE, 
0x2003,8195,EM SPACE, 
0x2004,8196,THREE-PER-EM SPACE, 
0x2005,8197,FOUR-PER-EM SPACE, 
0x2006,8198,SIX-PER-EM SPACE, 
0x2007,8199,FIGURE SPACE, 
0x2008,8200,PUNCTUATION SPACE, 
0x2009,8201,THIN SPACE, 
0x200A,8202,HAIR SPACE, 
0x200B,8203,ZERO WIDTH SPACE,​
0x200C,8204,ZERO WIDTH NON-JOINER,‌
0x200D,8205,ZERO WIDTH JOINER,‍
0x200E,8206,LEFT-TO-RIGHT MARK,‎
0x200F,8207,RIGHT-TO-LEFT MARK,‏
0x2010,8208,HYPHEN,‐
0x2011,8209,NON-BREAKING HYPHEN,‑
0x2012,8210,FIGURE DASH,‒
0x2013,8211,EN DASH,–
0x2014,8212,EM DASH,—
0x2015,8213,HORIZONTAL BAR,―
0x2016,8214,DOUBLE VERTICAL LINE,‖
0x2017,8215,DOUBLE LOW LINE,‗
0x2018,8216,LEFT SINGLE QUOTATION MARK,‘
0x2019,8217,RIGHT SINGLE QUOTATION MARK,’
0x201A,8218,SINGLE LOW-9 QUOTATION MARK,‚
0x201B,8219,SINGLE HIGH-REVERSED-9 QUOTATION MARK,‛
0x201C,8220,LEFT DOUBLE QUOTATION MARK,“
0x201D,8221,RIGHT DOUBLE QUOTATION MARK,”
0x201E,8222,DOUBLE LOW-9 QUOTATION MARK,„
0x201F,8223,DOUBLE HIGH-REVERSED-9 QUOTATION MARK,‟
0x2020,8224,DAGGER,†
0x2021,8225,DOUBLE DAGGER,‡
0x2022,8226,BULLET,•
0x2023,8227,TRIANGULAR BULLET,‣
0x2024,8228,ONE DOT LEADER,․
0x2025,8229,TWO DOT LEADER,‥
0x2026,8230,HORIZONTAL ELLIPSIS,…
0x2027,8231,HYPHENATION POINT,‧
0x2028,8232,LINE SEPARATOR, 
0x2029,8233,PARAGRAPH SEPARATOR, 
0x202A,8234,LEFT-TO-RIGHT EMBEDDING,‪
0x202B,8235,RIGHT-TO-LEFT EMBEDDING,‫
0x202C,8236,POP DIRECTIONAL FORMATTING,‬
0x202D,8237,LEFT-TO-RIGHT OVERRIDE,‭
0x202E,8238,RIGHT-TO-LEFT OVERRIDE,‮
0x202F,8239,NARROW NO-BREAK SPACE, 
0x2030,8240,PER MILLE SIGN,‰
0x2031,8241,PER TEN THOUSAND SIGN,‱
0x2032,8242,PRIME,′
0x2033,8243,DOUBLE PRIME,″
0x2034,8244,TRIPLE PRIME,‴
0x2035,8245,REVERSED PRIME,‵
0x2036,8246,REVERSED DOUBLE PRIME,‶
0x2037,8247,REVERSED TRIPLE PRIME,‷
0x2038,8248,CARET,‸
0x2039,8249,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,‹
0x203A,8250,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,›
0x203B,8251,REFERENCE MARK,※
0x203C,8252,DOUBLE EXCLAMATION MARK,‼
0x203D,8253,INTERROBANG,‽
0x203E,8254,OVERLINE,‾
0x203F,8255,UNDERTIE,‿
0x2040,8256,CHARACTER TIE,⁀
0x2041,8257,CARET INSERTION POINT,⁁
0x2042,8258,ASTERISM,⁂
0x2043,8259,HYPHEN BULLET,⁃
0x2044,8260,FRACTION SLASH,⁄
0x2045,8261,LEFT SQUARE BRACKET WITH QUILL,⁅
0x2046,8262,RIGHT SQUARE BRACKET WITH QUILL,⁆
0x2048,8264,QUESTION EXCLAMATION MARK,⁈
0x2049,8265,EXCLAMATION QUESTION MARK,⁉
0x204A,8266,TIRONIAN SIGN ET,⁊
0x204B,8267,REVERSED PILCROW SIGN,⁋
0x204C,8268,BLACK LEFTWARDS BULLET,⁌
0x204D,8269,BLACK RIGHTWARDS BULLET,⁍
0x206A,8298,INHIBIT SYMMETRIC SWAPPING,⁪
0x206B,8299,ACTIVATE SYMMETRIC SWAPPING,⁫
0x206C,8300,INHIBIT ARABIC FORM SHAPING,⁬
0x206D,8301,ACTIVATE ARABIC FORM SHAPING,⁭
0x206E,8302,NATIONAL DIGIT SHAPES,⁮
0x206F,8303,NOMINAL DIGIT SHAPES,⁯
,,,
0x2070,8304,SUPERSCRIPT ZERO,⁰
0x2074,8308,SUPERSCRIPT FOUR,⁴
0x2075,8309,SUPERSCRIPT FIVE,⁵
0x2076,8310,SUPERSCRIPT SIX,⁶
0x2077,8311,SUPERSCRIPT SEVEN,⁷
0x2078,8312,SUPERSCRIPT EIGHT,⁸
0x2079,8313,SUPERSCRIPT NINE,⁹
0x207A,8314,SUPERSCRIPT PLUS SIGN,⁺
0x207B,8315,SUPERSCRIPT MINUS,⁻
0x207C,8316,SUPERSCRIPT EQUALS SIGN,⁼
0x207D,8317,SUPERSCRIPT LEFT PARENTHESIS,⁽
0x207E,8318,SUPERSCRIPT RIGHT PARENTHESIS,⁾
0x207F,8319,SUPERSCRIPT LATIN SMALL LETTER N,ⁿ
0x2080,8320,SUBSCRIPT ZERO,₀
0x2081,8321,SUBSCRIPT ONE,₁
0x2082,8322,SUBSCRIPT TWO,₂
0x2083,8323,SUBSCRIPT THREE,₃
0x2084,8324,SUBSCRIPT FOUR,₄
0x2085,8325,SUBSCRIPT FIVE,₅
0x2086,8326,SUBSCRIPT SIX,₆
0x2087,8327,SUBSCRIPT SEVEN,₇
0x2088,8328,SUBSCRIPT EIGHT,₈
0x2089,8329,SUBSCRIPT NINE,₉
0x208A,8330,SUBSCRIPT PLUS SIGN,₊
0x208B,8331,SUBSCRIPT MINUS,₋
0x208C,8332,SUBSCRIPT EQUALS SIGN,₌
0x208D,8333,SUBSCRIPT LEFT PARENTHESIS,₍
0x208E,8334,SUBSCRIPT RIGHT PARENTHESIS,₎
,,,
0x20A0,8352,EURO-CURRENCY SIGN,₠
0x20A1,8353,COLON SIGN,₡
0x20A2,8354,CRUZEIRO SIGN,₢
0x20A3,8355,FRENCH FRANC SIGN,₣
0x20A4,8356,LIRA SIGN,₤
0x20A5,8357,MILL SIGN,₥
0x20A6,8358,NAIRA SIGN,₦
0x20A7,8359,PESETA SIGN,₧
0x20A8,8360,RUPEE SIGN,₨
0x20A9,8361,WON SIGN,₩
0x20AA,8362,NEW SHEQEL SIGN,₪
0x20AB,8363,DONG SIGN,₫
0x20AC,8364,EURO SIGN,€
0x20AD,8365,KIP SIGN,₭
0x20AE,8366,TUGRIK SIGN,₮
0x20AF,8367,DRACHMA SIGN,₯
,,,
0x20D0,8400,COMBINING LEFT HARPOON ABOVE,⃐
0x20D1,8401,COMBINING RIGHT HARPOON ABOVE,⃑
0x20D2,8402,COMBINING LONG VERTICAL LINE OVERLAY,⃒
0x20D3,8403,COMBINING SHORT VERTICAL LINE OVERLAY,⃓
0x20D4,8404,COMBINING ANTICLOCKWISE ARROW ABOVE,⃔
0x20D5,8405,COMBINING CLOCKWISE ARROW ABOVE,⃕
0x20D6,8406,COMBINING LEFT ARROW ABOVE,⃖
0x20D7,8407,COMBINING RIGHT ARROW ABOVE,⃗
0x20D8,8408,COMBINING RING OVERLAY,⃘
0x20D9,8409,COMBINING CLOCKWISE RING OVERLAY,⃙
0x20DA,8410,COMBINING ANTICLOCKWISE RING OVERLAY,⃚
0x20DB,8411,COMBINING THREE DOTS ABOVE,⃛
0x20DC,8412,COMBINING FOUR DOTS ABOVE,⃜
0x20DD,8413,COMBINING ENCLOSING CIRCLE,⃝
0x20DE,8414,COMBINING ENCLOSING SQUARE,⃞
0x20DF,8415,COMBINING ENCLOSING DIAMOND,⃟
0x20E0,8416,COMBINING ENCLOSING CIRCLE BACKSLASH,⃠
0x20E1,8417,COMBINING LEFT RIGHT ARROW ABOVE,⃡
0x20E2,8418,COMBINING ENCLOSING SCREEN,⃢
0x20E3,8419,COMBINING ENCLOSING KEYCAP,⃣
,,,
0x2100,8448,ACCOUNT OF,℀
0x2101,8449,ADDRESSED TO THE SUBJECT,℁
0x2102,8450,DOUBLE-STRUCK CAPITAL C,ℂ
0x2103,8451,DEGREE CELSIUS,℃
0x2104,8452,CENTRE LINE SYMBOL,℄
0x2105,8453,CARE OF,℅
0x2106,8454,CADA UNA,℆
0x2107,8455,EULER CONSTANT,ℇ
0x2108,8456,SCRUPLE,℈
0x2109,8457,DEGREE FAHRENHEIT,℉
0x210A,8458,SCRIPT SMALL G,ℊ
0x210B,8459,SCRIPT CAPITAL H,ℋ
0x210C,8460,BLACK-LETTER CAPITAL H,ℌ
0x210D,8461,DOUBLE-STRUCK CAPITAL H,ℍ
0x210E,8462,PLANCK CONSTANT,ℎ
0x210F,8463,PLANCK CONSTANT OVER TWO PI,ℏ
0x2110,8464,SCRIPT CAPITAL I,ℐ
0x2111,8465,BLACK-LETTER CAPITAL I,ℑ
0x2112,8466,SCRIPT CAPITAL L,ℒ
0x2113,8467,SCRIPT SMALL L,ℓ
0x2114,8468,L B BAR SYMBOL,℔
0x2115,8469,DOUBLE-STRUCK CAPITAL N,ℕ
0x2116,8470,NUMERO SIGN,№
0x2117,8471,SOUND RECORDING COPYRIGHT,℗
0x2118,8472,SCRIPT CAPITAL P,℘
0x2119,8473,DOUBLE-STRUCK CAPITAL P,ℙ
0x211A,8474,DOUBLE-STRUCK CAPITAL Q,ℚ
0x211B,8475,SCRIPT CAPITAL R,ℛ
0x211C,8476,BLACK-LETTER CAPITAL R,ℜ
0x211D,8477,DOUBLE-STRUCK CAPITAL R,ℝ
0x211E,8478,PRESCRIPTION TAKE,℞
0x211F,8479,RESPONSE,℟
0x2120,8480,SERVICE MARK,℠
0x2121,8481,TELEPHONE SIGN,℡
0x2122,8482,TRADE MARK SIGN,™
0x2123,8483,VERSICLE,℣
0x2124,8484,DOUBLE-STRUCK CAPITAL Z,ℤ
0x2125,8485,OUNCE SIGN,℥
0x2126,8486,OHM SIGN,Ω
0x2127,8487,INVERTED OHM SIGN,℧
0x2128,8488,BLACK-LETTER CAPITAL Z,ℨ
0x2129,8489,TURNED GREEK SMALL LETTER IOTA,℩
0x212A,8490,KELVIN SIGN,K
0x212B,8491,ANGSTROM SIGN,Å
0x212C,8492,SCRIPT CAPITAL B,ℬ
0x212D,8493,BLACK-LETTER CAPITAL C,ℭ
0x212E,8494,ESTIMATED SYMBOL,℮
0x212F,8495,SCRIPT SMALL E,ℯ
0x2130,8496,SCRIPT CAPITAL E,ℰ
0x2131,8497,SCRIPT CAPITAL F,ℱ
0x2132,8498,TURNED CAPITAL F,Ⅎ
0x2133,8499,SCRIPT CAPITAL M,ℳ
0x2134,8500,SCRIPT SMALL O,ℴ
0x2135,8501,ALEF SYMBOL,ℵ
0x2136,8502,BET SYMBOL,ℶ
0x2137,8503,GIMEL SYMBOL,ℷ
0x2138,8504,DALET SYMBOL,ℸ
0x2139,8505,INFORMATION SOURCE,ℹ
0x213A,8506,ROTATED CAPITAL Q,℺
,,,
0x2153,8531,VULGAR FRACTION ONE THIRD,⅓
0x2154,8532,VULGAR FRACTION TWO THIRDS,⅔
0x2155,8533,VULGAR FRACTION ONE FIFTH,⅕
0x2156,8534,VULGAR FRACTION TWO FIFTHS,⅖
0x2157,8535,VULGAR FRACTION THREE FIFTHS,⅗
0x2158,8536,VULGAR FRACTION FOUR FIFTHS,⅘
0x2159,8537,VULGAR FRACTION ONE SIXTH,⅙
0x215A,8538,VULGAR FRACTION FIVE SIXTHS,⅚
0x215B,8539,VULGAR FRACTION ONE EIGHTH,⅛
0x215C,8540,VULGAR FRACTION THREE EIGHTHS,⅜
0x215D,8541,VULGAR FRACTION FIVE EIGHTHS,⅝
0x215E,8542,VULGAR FRACTION SEVEN EIGHTHS,⅞
0x215F,8543,FRACTION NUMERATOR ONE,⅟
0x2160,8544,ROMAN NUMERAL ONE,Ⅰ
0x2161,8545,ROMAN NUMERAL TWO,Ⅱ
0x2162,8546,ROMAN NUMERAL THREE,Ⅲ
0x2163,8547,ROMAN NUMERAL FOUR,Ⅳ
0x2164,8548,ROMAN NUMERAL FIVE,Ⅴ
0x2165,8549,ROMAN NUMERAL SIX,Ⅵ
0x2166,8550,ROMAN NUMERAL SEVEN,Ⅶ
0x2167,8551,ROMAN NUMERAL EIGHT,Ⅷ
0x2168,8552,ROMAN NUMERAL NINE,Ⅸ
0x2169,8553,ROMAN NUMERAL TEN,Ⅹ
0x216A,8554,ROMAN NUMERAL ELEVEN,Ⅺ
0x216B,8555,ROMAN NUMERAL TWELVE,Ⅻ
0x216C,8556,ROMAN NUMERAL FIFTY,Ⅼ
0x216D,8557,ROMAN NUMERAL ONE HUNDRED,Ⅽ
0x216E,8558,ROMAN NUMERAL FIVE HUNDRED,Ⅾ
0x216F,8559,ROMAN NUMERAL ONE THOUSAND,Ⅿ
0x2170,8560,SMALL ROMAN NUMERAL ONE,ⅰ
0x2171,8561,SMALL ROMAN NUMERAL TWO,ⅱ
0x2172,8562,SMALL ROMAN NUMERAL THREE,ⅲ
0x2173,8563,SMALL ROMAN NUMERAL FOUR,ⅳ
0x2174,8564,SMALL ROMAN NUMERAL FIVE,ⅴ
0x2175,8565,SMALL ROMAN NUMERAL SIX,ⅵ
0x2176,8566,SMALL ROMAN NUMERAL SEVEN,ⅶ
0x2177,8567,SMALL ROMAN NUMERAL EIGHT,ⅷ
0x2178,8568,SMALL ROMAN NUMERAL NINE,ⅸ
0x2179,8569,SMALL ROMAN NUMERAL TEN,ⅹ
0x217A,8570,SMALL ROMAN NUMERAL ELEVEN,ⅺ
0x217B,8571,SMALL ROMAN NUMERAL TWELVE,ⅻ
0x217C,8572,SMALL ROMAN NUMERAL FIFTY,ⅼ
0x217D,8573,SMALL ROMAN NUMERAL ONE HUNDRED,ⅽ
0x217E,8574,SMALL ROMAN NUMERAL FIVE HUNDRED,ⅾ
0x217F,8575,SMALL ROMAN NUMERAL ONE THOUSAND,ⅿ
0x2180,8576,ROMAN NUMERAL ONE THOUSAND C D,ↀ
0x2181,8577,ROMAN NUMERAL FIVE THOUSAND,ↁ
0x2182,8578,ROMAN NUMERAL TEN THOUSAND,ↂ
0x2183,8579,ROMAN NUMERAL REVERSED ONE HUNDRED,Ↄ
,,,
0x2190,8592,LEFTWARDS ARROW,←
0x2191,8593,UPWARDS ARROW,↑
0x2192,8594,RIGHTWARDS ARROW,→
0x2193,8595,DOWNWARDS ARROW,↓
0x2194,8596,LEFT RIGHT ARROW,↔
0x2195,8597,UP DOWN ARROW,↕
0x2196,8598,NORTH WEST ARROW,↖
0x2197,8599,NORTH EAST ARROW,↗
0x2198,8600,SOUTH EAST ARROW,↘
0x2199,8601,SOUTH WEST ARROW,↙
0x219A,8602,LEFTWARDS ARROW WITH STROKE,↚
0x219B,8603,RIGHTWARDS ARROW WITH STROKE,↛
0x219C,8604,LEFTWARDS WAVE ARROW,↜
0x219D,8605,RIGHTWARDS WAVE ARROW,↝
0x219E,8606,LEFTWARDS TWO HEADED ARROW,↞
0x219F,8607,UPWARDS TWO HEADED ARROW,↟
0x21A0,8608,RIGHTWARDS TWO HEADED ARROW,↠
0x21A1,8609,DOWNWARDS TWO HEADED ARROW,↡
0x21A2,8610,LEFTWARDS ARROW WITH TAIL,↢
0x21A3,8611,RIGHTWARDS ARROW WITH TAIL,↣
0x21A4,8612,LEFTWARDS ARROW FROM BAR,↤
0x21A5,8613,UPWARDS ARROW FROM BAR,↥
0x21A6,8614,RIGHTWARDS ARROW FROM BAR,↦
0x21A7,8615,DOWNWARDS ARROW FROM BAR,↧
0x21A8,8616,UP DOWN ARROW WITH BASE,↨
0x21A9,8617,LEFTWARDS ARROW WITH HOOK,↩
0x21AA,8618,RIGHTWARDS ARROW WITH HOOK,↪
0x21AB,8619,LEFTWARDS ARROW WITH LOOP,↫
0x21AC,8620,RIGHTWARDS ARROW WITH LOOP,↬
0x21AD,8621,LEFT RIGHT WAVE ARROW,↭
0x21AE,8622,LEFT RIGHT ARROW WITH STROKE,↮
0x21AF,8623,DOWNWARDS ZIGZAG ARROW,↯
0x21B0,8624,UPWARDS ARROW WITH TIP LEFTWARDS,↰
0x21B1,8625,UPWARDS ARROW WITH TIP RIGHTWARDS,↱
0x21B2,8626,DOWNWARDS ARROW WITH TIP LEFTWARDS,↲
0x21B3,8627,DOWNWARDS ARROW WITH TIP RIGHTWARDS,↳
0x21B4,8628,RIGHTWARDS ARROW WITH CORNER DOWNWARDS,↴
0x21B5,8629,DOWNWARDS ARROW WITH CORNER LEFTWARDS,↵
0x21B6,8630,ANTICLOCKWISE TOP SEMICIRCLE ARROW,↶
0x21B7,8631,CLOCKWISE TOP SEMICIRCLE ARROW,↷
0x21B8,8632,NORTH WEST ARROW TO LONG BAR,↸
0x21B9,8633,LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR,↹
0x21BA,8634,ANTICLOCKWISE OPEN CIRCLE ARROW,↺
0x21BB,8635,CLOCKWISE OPEN CIRCLE ARROW,↻
0x21BC,8636,LEFTWARDS HARPOON WITH BARB UPWARDS,↼
0x21BD,8637,LEFTWARDS HARPOON WITH BARB DOWNWARDS,↽
0x21BE,8638,UPWARDS HARPOON WITH BARB RIGHTWARDS,↾
0x21BF,8639,UPWARDS HARPOON WITH BARB LEFTWARDS,↿
0x21C0,8640,RIGHTWARDS HARPOON WITH BARB UPWARDS,⇀
0x21C1,8641,RIGHTWARDS HARPOON WITH BARB DOWNWARDS,⇁
0x21C2,8642,DOWNWARDS HARPOON WITH BARB RIGHTWARDS,⇂
0x21C3,8643,DOWNWARDS HARPOON WITH BARB LEFTWARDS,⇃
0x21C4,8644,RIGHTWARDS ARROW OVER LEFTWARDS ARROW,⇄
0x21C5,8645,UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW,⇅
0x21C6,8646,LEFTWARDS ARROW OVER RIGHTWARDS ARROW,⇆
0x21C7,8647,LEFTWARDS PAIRED ARROWS,⇇
0x21C8,8648,UPWARDS PAIRED ARROWS,⇈
0x21C9,8649,RIGHTWARDS PAIRED ARROWS,⇉
0x21CA,8650,DOWNWARDS PAIRED ARROWS,⇊
0x21CB,8651,LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON,⇋
0x21CC,8652,RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON,⇌
0x21CD,8653,LEFTWARDS DOUBLE ARROW WITH STROKE,⇍
0x21CE,8654,LEFT RIGHT DOUBLE ARROW WITH STROKE,⇎
0x21CF,8655,RIGHTWARDS DOUBLE ARROW WITH STROKE,⇏
0x21D0,8656,LEFTWARDS DOUBLE ARROW,⇐
0x21D1,8657,UPWARDS DOUBLE ARROW,⇑
0x21D2,8658,RIGHTWARDS DOUBLE ARROW,⇒
0x21D3,8659,DOWNWARDS DOUBLE ARROW,⇓
0x21D4,8660,LEFT RIGHT DOUBLE ARROW,⇔
0x21D5,8661,UP DOWN DOUBLE ARROW,⇕
0x21D6,8662,NORTH WEST DOUBLE ARROW,⇖
0x21D7,8663,NORTH EAST DOUBLE ARROW,⇗
0x21D8,8664,SOUTH EAST DOUBLE ARROW,⇘
0x21D9,8665,SOUTH WEST DOUBLE ARROW,⇙
0x21DA,8666,LEFTWARDS TRIPLE ARROW,⇚
0x21DB,8667,RIGHTWARDS TRIPLE ARROW,⇛
0x21DC,8668,LEFTWARDS SQUIGGLE ARROW,⇜
0x21DD,8669,RIGHTWARDS SQUIGGLE ARROW,⇝
0x21DE,8670,UPWARDS ARROW WITH DOUBLE STROKE,⇞
0x21DF,8671,DOWNWARDS ARROW WITH DOUBLE STROKE,⇟
0x21E0,8672,LEFTWARDS DASHED ARROW,⇠
0x21E1,8673,UPWARDS DASHED ARROW,⇡
0x21E2,8674,RIGHTWARDS DASHED ARROW,⇢
0x21E3,8675,DOWNWARDS DASHED ARROW,⇣
0x21E4,8676,LEFTWARDS ARROW TO BAR,⇤
0x21E5,8677,RIGHTWARDS ARROW TO BAR,⇥
0x21E6,8678,LEFTWARDS WHITE ARROW,⇦
0x21E7,8679,UPWARDS WHITE ARROW,⇧
0x21E8,8680,RIGHTWARDS WHITE ARROW,⇨
0x21E9,8681,DOWNWARDS WHITE ARROW,⇩
0x21EA,8682,UPWARDS WHITE ARROW FROM BAR,⇪
0x21EB,8683,UPWARDS WHITE ARROW ON PEDESTAL,⇫
0x21EC,8684,UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR,⇬
0x21ED,8685,UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR,⇭
0x21EE,8686,UPWARDS WHITE DOUBLE ARROW,⇮
0x21EF,8687,UPWARDS WHITE DOUBLE ARROW ON PEDESTAL,⇯
0x21F0,8688,RIGHTWARDS WHITE ARROW FROM WALL,⇰
0x21F1,8689,NORTH WEST ARROW TO CORNER,⇱
0x21F2,8690,SOUTH EAST ARROW TO CORNER,⇲
0x21F3,8691,UP DOWN WHITE ARROW,⇳
,,,
0x2200,8704,FOR ALL,∀
0x2201,8705,COMPLEMENT,∁
0x2202,8706,PARTIAL DIFFERENTIAL,∂
0x2203,8707,THERE EXISTS,∃
0x2204,8708,THERE DOES NOT EXIST,∄
0x2205,8709,EMPTY SET,∅
0x2206,8710,INCREMENT,∆
0x2207,8711,NABLA,∇
0x2208,8712,ELEMENT OF,∈
0x2209,8713,NOT AN ELEMENT OF,∉
0x220A,8714,SMALL ELEMENT OF,∊
0x220B,8715,CONTAINS AS MEMBER,∋
0x220C,8716,DOES NOT CONTAIN AS MEMBER,∌
0x220D,8717,SMALL CONTAINS AS MEMBER,∍
0x220E,8718,END OF PROOF,∎
0x220F,8719,N-ARY PRODUCT,∏
0x2210,8720,N-ARY COPRODUCT,∐
0x2211,8721,N-ARY SUMMATION,∑
0x2212,8722,MINUS SIGN,−
0x2213,8723,MINUS-OR-PLUS SIGN,∓
0x2214,8724,DOT PLUS,∔
0x2215,8725,DIVISION SLASH,∕
0x2216,8726,SET MINUS,∖
0x2217,8727,ASTERISK OPERATOR,∗
0x2218,8728,RING OPERATOR,∘
0x2219,8729,BULLET OPERATOR,∙
0x221A,8730,SQUARE ROOT,√
0x221B,8731,CUBE ROOT,∛
0x221C,8732,FOURTH ROOT,∜
0x221D,8733,PROPORTIONAL TO,∝
0x221E,8734,INFINITY,∞
0x221F,8735,RIGHT ANGLE,∟
0x2220,8736,ANGLE,∠
0x2221,8737,MEASURED ANGLE,∡
0x2222,8738,SPHERICAL ANGLE,∢
0x2223,8739,DIVIDES,∣
0x2224,8740,DOES NOT DIVIDE,∤
0x2225,8741,PARALLEL TO,∥
0x2226,8742,NOT PARALLEL TO,∦
0x2227,8743,LOGICAL AND,∧
0x2228,8744,LOGICAL OR,∨
0x2229,8745,INTERSECTION,∩
0x222A,8746,UNION,∪
0x222B,8747,INTEGRAL,∫
0x222C,8748,DOUBLE INTEGRAL,∬
